;sent_1;sent_2;answer
2823;Собеседник «Известий» в дипломатических кругах подчеркнул, что между Москвой и Абу-Даби «достаточно хорошо развиты контакты, в частности в военно-технической области, а также — хорошая история экономических отношений».;Глава МИД России Сергей Лавров проводит переговоры с наследным принцем Абу-Даби Мухаммедом аль-Нахайяном, передает «Интерфакс».;0
2824;Напомним, 2 августа президент США Дональд Трамп подписал новый закон об ужесточении санкций против России, который был принят большинством проголосовавших в американском конгрессе и сенате.;Последствия закона о санкциях, введенных в отношении России со стороны США сложно просчитать, заявил помощник президента России Юрий Ушаков, передает РИА «Новости».;0
2825;Самая слабая армия, считают аналитики издания, у Бутана.;Второе место заняла Россия в рейтинге стран с самыми мощными армиями мира, передает НСН.;0
2826;Жена экс-мэра столицы Юрия Лужкова Елена Батурина названа самой богатой женщиной России по версии журнала Forbes.;Рейтинг в очередной раз возглавила супруга бывшего мэра Москвы Юрия Лужкова, президент Inteco Management Елена Батурина.;0
2827;Однако добавил, что рассматривает многие страны как подобную угрозу.;При этом он также не стал называть ни одной конкретной страны, которую считает угрозой для США.;0
2828;Баллистическая ракета, запущенная КНДР, пролетела над Японией и упала в Тихом океане в 1180 км к востоку от острова Хоккайдо.;Баллистическая ракета, которая была запущена, предположительно, КНДР, упала в Тихом океане в 1180 км к востоку от японского острова Хоккайдо.;0
2829;В конце августа 2016 года на республику обрушились ливни и шквалистый ветер, в результате оказались повреждены и подтоплены сотни домой.;Глава МЧС России Владимир Пучков представил проект о направлении 498 млн руб. жителям Чечни, которые пострадали в августе 2016 года от шквалистого ветра, ливней и града, передает РИА «Новости».;
2830;По предварительной версии, водитель не справился с управлением и микроавтобус упал в реку Шохдара.;По предварительной версии, водитель автобуса Starex не справился с управлением, из-за чего транспортное средство упало в реку.;1
2831;Начало движения знаменует окончание наиболее сложного этапа строительства моста, который свяжет российский полуостров с Кавказом.;«Святитель Алексий» стал передовым судном в караване, к проводке которого приступили лоцманы по Керчь-Еникальскому каналу после ограничения движения на период морской операции по проекту Крымского моста.;0
2832;Репертуар легендарного скрипача насчитывает несколько десятков произведений классиков мировой музыки.;Заслуженный артист России, известный скрипач Дмитрий Коган скончался в Москве на 39-м году жизни, передает РИА «Новости» со ссылкой на родственников музыканта.;0
2833;ЧП произошло в библиотеке города Кловис.;Инцидент произошел в библиотеке, расположенной в небольшом городе Кловис.;1
2834;По словам очевидцев, его автомобиль «Нива» упал в реку в момент обвала дороги, а затем его унесло течением.;В Кабардино-Балкарии начали эвакуировать туристов, заблокированных в горах из-за схода селей, передает НСН.;0
2835;В следующей стадии турнира россиянка встретится с победительницей пары Софья Кенин (США) — Сачия Викери (США).;Россиянка Екатерина Макарова обыграла пятую ракетку мира датчанку Каролину Возняцки и вышла в третий круг Открытого чемпионата США, сообщает RT.;0
2836;Темпы роста ставки налога, по мнению ведомства, должны опережать инфляцию.;В ведомстве пояснили, что водка должна дорожать быстрее инфляции, тогда население будет переходить на менее крепкие напитки.;0
2837;Ранее в пятницу премьер-министр России Дмитрий Медведев сообщил о том, что новым главой «Россетей» будет назначен руководитель департамента ЖКХ Москвы Павел Ливинский.;Премьер-министр России Дмитрий Медведев заявил, что глава департамента ЖКХ Москвы Павел Ливинский станет новой главой «Россетей».;1
2838;Президент США Дональд Трамп лично принимал решение о закрытии российского консульства в Сан-Франциско и зданий в Нью-Йорке и Вашингтоне, заявила журналистам пресс-секретарь Белого дома Сара Сандерс.;Президент США Дональд Трамп лично принимал решение о закрытии российского генконсульства в Сан-Франциско.;1
2839;Об этом сообщает в четверг официальный сайт главы Украины.;Об этом сообщает официальный сайт украинского президента.;1
2840;Главный переговорщик ЕС по Brexit Мишель Барнье заявил о том, что Великобритания должна определиться со своей позицией по всем вопросам относительно выхода из состава Евросоюза, чтобы начать серьезные переговоры.;Представить ЕС по вопросам выхода Великобритании из состава блока Мишель Барнье заявил, что королевство должно определиться со своей позицией по всем вопросам относительно выхода из Евросоюза, чтобы начать «серьезные переговоры».;1
2841;"Встреча завершилась со счетом 2:1 (1:6; 6:4; 6:4), передает «Газета.ру».";Российский теннисист Михаил Южный в матче второго круга Открытого чемпионата США уступил швейцарцу Роджеру Федереру со счетом 1:6, 7:6 (3), 6:4, 4:6, 2:6, передает RT.;0
2842;Столичные школьники с 1 сентября смогут посещать музеи Москвы бесплатно.;Московские музеи станут бесплатными для школьников с 1 сентября, сообщает РИА «Новости» со ссылкой на мэра столицы Сергея Собянин а.;1
2843;Они пойдут на оказание помощи людям, пострадавшим от урагана «Харви» в США.;Ранее Трамп посетил пострадавший от урагана штат Техас.;0
2844;Саммит БРИКС пройдет в Китае 4-5 сентября 2017 года.;Саммит БРИКС пройдет в китайском Сямэне 3–5 сентября.;0
2845;ЧП произошло в библиотеке города Кловис.;Инцидент произошел в библиотеке, расположенной в небольшом городе Кловис.;1
2846;Пресс-служба телеканала «Россия 1» не стала комментировать данную ситуацию, пишет ТАСС.;Первый канал прокомментировал «Газете.Ru» ситуацию с передачей «Пока все дома».;0
2847;Компания Uber отказалась от слежки за пассажирами после поездки при помощи геолокации, сообщил начальник службы безопасности Uber Technologies Inc.;Компания Uber отказалась от слежки за геолокацией пассажиров такси после поездки, сообщает Reuters.;0
2848;Ранее в Удмуртии Говорухин, выступая перед общественностью, заявил о своем уходе из кино и режиссуры.;Глава комитета Госдумы по культуре Станислав Говорухин прокомментировал свои слова об уходе из режиссуры, передает сайт kp.ru. Ранее Говорухин сказал, что решил завершить свою карьеру режиссера.;0
2849;«Сирийская армия и бойцы сопротивления полностью освободили от боевиков ИГ западный Каламун, после отправления последнего автобуса от погранперехода Шейх-Али–Ар-Румият», — заявил «РИА Новости» источник, близкий к «Хезболле».;«Сирийская армия и бойцы сопротивления полностью освободили от боевиков ИГ Западный Каламун после отправления последнего автобуса от погранперехода Шейх-Али — Ар-Румият (в сторону города Абу-Кемаль)», — сказал источник.;1
2850;Судно с тремя рыбаками протаранило баржу, которая шла на буксире с острова Уллындо.;В Южной Корее два человека погибли в результате столкновения рыболовного судна с баржей, сообщает «Ренхап».;0
2851;Подробнее читайте в эксклюзивном материале «Известий»: Бизнес-рекорд Мейвезера;Этот бой вызвал огромный резонанс во всем мире», — цитирует Рябинского газета «Известия».;0
2852;ДТП произошло на трассе М-4 «Дон» в Подмосковье.;«На 45 км трассы М4 «Дон» произошло столкновение легкового автомобиля марки Toyota Corolla и грузового автомобиля.;1
2853;В четверг, по ожиданиям синоптиков, в Москве и области немного потеплеет, воздух прогреется до 20–22 градусов, по области будет от 18 до 23 градусов.;По данным синоптиков, в четверг еще немного потеплеет – до 22 градусов.;1
2854;Комментируя сегодня днем снятие запрета на поставки ряда овощей, Ткачев напомнил, что по ряду вопросов между двумя странами остаются разногласия, — и в пример привел как раз поставки турецких томатов.;Глава Минсельхоз а Александр Ткачев заявил, что Минсельхоз не исключает частичного возобновления поставок турецких томатов.;0
2855;Помощник президента России Юрий Ушаков заявил журналистам, что лидеры БРИКС на саммите обсудят ситуацию на Корейском полуострове.;«Президент выскажется в пользу продвижения совместных российско-китайских мирных инициатив.;0
2856;В законе всё отработано, у вас наверняка на региональном уровне система налажена.;В законе все отработано, у вас наверняка на региональном уровне система налажена.;1
2857;Министерство иностранных дел России назвало инцидент «целенаправленной провокацией».;Ранее сообщалось, что в МИДе назвали «целенаправленной провокацией» Киева депортацию журналистки Первого канала.;0
2858;По мнению дипломата, такие высказывания «подрывают и уровень доверия, и серьезный уровень сотрудничества» между Киевом и Брюсселем.;Точицкий заявил, что выразил обеспокоенность своим коллегам в Еврокомиссии, так как, по его мнению, слова Юнкера были широко использованы в СМИ «с целью дискредитации Украины и нашего евроинтеграционного курса».;0
2859;Эксперты считают, что в 2017 году рекорд может быть повторен, делая более смелые прогнозы, чем Минсельхоз.;«Агроэксперты оценивают урожай 2017 года как чрезвычайно высокий.;0
2860;«В России существует ставший уже традицией День знаний — 1 сентября, и мы не планируем менять эту традицию», — заявили в пресс-службе Минобрнауки, слова представителя министерства цитирует «Газета.ру».;«В России существует ставший уже традицией День знаний — 1 сентября, и мы не планируем менять эту традицию.;1
2861;Подробнее читайте в эксклюзивном материале «Известий»: Инфляцию засыпят зерном;В целом это скажется на уровне инфляции в ближайшие месяцы», — сообщает издание.;0
2862;На пресс-конференции с президентом этой скандинавской страны Саули Ниинистё Трамп выразил надежду на успешное председательство Финляндии в Арктическом совете.;Президент Финляндии Саули Ниинистё рассказал, что темой обсуждений с президентом США Дональдом Трампом станет ситуация в регионе Балтийского моря, передает Yle.;0
2863;Они готовили теракты на 1 сентября, в том числе — нападения с холодным оружием.;ФСБ сообщила о задержании двух выходцев из Средней Азии, готовивших теракты в Москве и Подмосковье 1 сентября.;0
2864;В ближайшее время арка будет поднята на проектную высоту 35 м и установлена на фарватерные опоры.;Арку подняли немного выше проектной высоты для последующего опускания на опорные части.;0
2865;«Газета.ру» сообщает со ссылкой на Гидрометцентр, что столбик термометра поднимется до 22 градусов тепла.;По данным Гидрометцентра, дневная температура воздуха составит +20...+22°C.;0
2866;Ранее «Известия» писали, что крушение пассажирского судна произошло в Бразилии.;Ранее сообщалось, что в Канаде самолет пилотажной группы загорелся во время авиашоу.;0
2867;На совместной пресс-конференции президента США с финским коллегой Саули Ниинистё журналистка спросила Трампа, является ли Россия «угрозой безопасности».;Президент США Дональд Трамп уклонился от прямого ответа, когда его спросили, считает ли он Россию угрозой безопасности США.;0
2868;В Минфине на запрос «Известий» не ответили.;В Минздраве назвали оптимальную цену на бутылку водки, передает газета «Известия».;0
2869;Напомним, Алексей Миллер сообщил также, что в 2017 году «Газпром» увеличил добычу газа на 20,1% — до 302,6 млрд куб. м.;Председатель правления «Газпрома» Алексей Миллер заявил, что на данный момент компания проложила 220 км «Турецкого потока» по двум ниткам, сообщает «Интерфакс».;0
2870;Финский лидер невозмутимо пояснил главе Белого дома, что это две разные девушки.;Президент США Дональд Трампа во время пресс-конференции с президентом Финляндии Саули Ниинистё перепутал двух корреспонденток-блондинок.;0
2871;Ранее сообщалось, что певица была госпитализирована с ушибами спины и таза, однако после медицинского осмотра выяснилось, что травмы оказались незначительными.;Представители медучреждения уточнили, что певица была доставлена с ушибами спины, грудной клетки и таза, однако медики заключили, что полученные при наезде травмы оказались незначительными.;1
2872;«В рамках российской Концепции развития семейной политики до 2025 года, где есть пункт о пропаганде традиционных семейных ценностей, нашим депутатом было предложено учредить День отца.;Эксперты отмечают, что учреждение нового праздника могло бы стать одним из примеров реализации правительственной Концепции развития семейной политики до 2025 года.;0
2873;День отца может в скором времени появиться в России, сообщили «Известиям» два источника, близкие к администрации президента, где сейчас обсуждают инициативу.;Предложение в 2014 году внес на рассмотрение инициативной группы депутат Госдумы от «Единой России» Александр Сидякин.;0
2874;Оно объединяет рынки США, Канады и Мексики.;Североамериканское соглашение о свободной торговле (НАФТА) обеспечивает свободную торговлю между Мексикой, США и Канадой.;0
2875;Как выяснилось, 25-летний молодой человек, оказавшийся за рулем Skoda Yeti, не имел права управлять автомобилем.;В ведомстве добавили, что задержанный 25-летний молодой человек не имел водительских прав и имел признаки опьянения.;1
2876;После случившегося спасатели пожарно-спасательного центра посетили два дошкольных учреждения на юге и юго-востоке Москвы, где также были обнаружены осиные гнезда.;В детском саду на улице Ереванской в Москве осы, свившие гнездо под полом беседки, покусали 19 детей и двух взрослых, передает РИА «Новости».;0
2877;Церемония прощания с известным скрипачом Дмитрием Коганом, который скончался сегодня в Москве, пройдет в субботу, 2 сентября, в Колонном зале Дома союзов, передает «РИА Новости» со ссылкой на пианиста Юрия Розума.;Заслуженный артист России, известный скрипач Дмитрий Коган скончался в Москве на 39-м году жизни, передает РИА «Новости» со ссылкой на родственников музыканта.;
2878;Напомним, 21 августа ракетный эсминец «Джон Маккейн» столкнулся с торговым судном Alnic MC в районе Малаккского пролива.;В Южной Корее два человека погибли в результате столкновения рыболовного судна с баржей, сообщает «Ренхап».;0
2879;Жертвой обрушившегося на Гонконг тропического тайфуна «Пакхар» стал один человек, еще 62 пострадали в Гонконге, восемь получили травмы в Макао.;В Гонконге из-за тайфуна «Пакхар» погиб человек, сообщает South China Morning Post.;0
2880;Владимир Путин прибыл в Будапешт.;Президент России Владимир Путин прибыл в столицу Венгрии Будапешт, передает РИА «Новости».;1
2881;«Надо всегда просто делать свою работу, если какая-то ответственность возлагается, надо, конечно, нести ответственность», — цитирует RNS ответ Орешкина на вопрос школьницы, предполагает ли он стать премьер-министром или президентом.;Глава Минэкономразвития Максим Орешкин в ходе посещения московской школы №1474 ответил на вопрос старшеклассницы об амбициях занять должность премьер-министра или президента, передает RNS.;0
2882;В ходе спецоперации было установлено, что вооруженные бандиты скрываются в одном из частных домов на окраине Хасавюрта.;В правоохранительных органах республики отметили, что группа боевиков была заблокирована в частном домовладении в селе Балюрт Хасавюртовского района.;0
2883;Более трети из них связаны с наркотиками.;Около 30% были связаны с употреблением различных наркотиков.;1
2884;— Дело даже не в сильном актерском составе (главные роли исполняют Олег Меньшиков, Александр Петров, Евгений Стычкин), а в исключительно креативной рекламной кампании и нестандартном для кинотеатров формате: несколько частей фильма будут показаны с промежутком в месяц.;Фильм «Малыш на драйве» стал новым лидером кинопроката России и СНГ, сообщает Kinobusiness.com со ссылкой на неофициальные и предварительные данные за уикенд с 24 по 27 августа.;0
2885;Ушаков подчеркнул, что Россия долгое время не отвечала на решение предыдущей американской администрации о высылке 35 российских дипломатов и изъятие ряда объектов российской собственности в США.;Ранее сообщалось, что Ушаков назвал рейдерским захватом ситуацию с дипсобственностью России в США.;0
2886;Игра между сборными России и Турции прошла в Стамбуле и завершилась со счетом 76:73 (20:15, 16:18, 19:18, 21:22) в пользу российской команды.;Группа D. 1-й тур Турция — Россия — 73 : 76 (15:20, 18:16, 18:19, 22:21);1
2887;В Керченском проливе было досрочно возобновлено судоходство с шести часов вечера 29 августа, передает «Федеральное агентство новостей».;На это время судоходство в Керчь-Еникальском канале ограничивается», — говорится в сообщении.;0
2888;Карнавализация выборов никак не связана с реальным политическим наполнением кампании, это просто элемент традиции.;Впрочем, эксперты и там слабо оценивают реальную возможность второго тура — просто кандидатам партии власти здесь придется чуть тяжелее.;0
2889;pic.twitter.com/jSGdPST3q0 Спортсмен смог продолжить гонку и финишировал 94-м.;pic.twitter.com/jSGdPST3q0;1
2890;Информацию о задержании на Украине российской журналистки Анны Курбатовой проверяет Международная федерация журналистов.;Журналистка Первого канала Анна Курбатова будет депортирована в Россию.;0
2891;Руни был доставлен в местное отделение полиции.;В августе Руни заявил о завершении карьеры в национальной команде.;0
2892;«В частности, президент России выскажется в пользу продвижения совместных российско-китайских мирных инициатив», — сказал Ушаков.;«Президент выскажется в пользу продвижения совместных российско-китайских мирных инициатив.;1
2893;По данным экологов, в мировой океан ежегодно попадает до 12,7 млн т пластика, который может разлагаться десятки и сотни лет.;Как сообщает Le Soir, многоразовые пластиковые пакеты — толщиной более 50 микрон — можно будет и дальше продавать покупателям.;0
2894;В общем въездном потоке в Анталью число россиян сейчас составляет 39%.;Уточняется, что по состоянию на 14 августа главный турецкий курорт принял более 6 млн туристов, что соответствует аналогичному показателю за весь прошлый год.;0
2895;По официальной статистике ГУВМ МВД на 1 января этого года, в целом на территории России находится почти 10 млн иностранцев.;Управляющий совет школы №2107, расположенной вблизи Московской соборной мечети, принял решение о переносе торжественной линейки с 1 на 4 сентября, сообщает «Интерфакс».;0
2896;Беспилотники поднимались в воздух на разведку 130 раз и обнаружили более 400 террористических точек.;Всего расчеты беспилотников обнаружили свыше 400 объектов боевиков.;1
2897;Ранее писал портал iz.ru 4 сентября в Мосгорсуде рассмотрят апелляционную жалобу режиссера Кирилла Серебренникова на домашний арест.;Британский актер Иэн Маккеллен, известный по роли Гэндальфа во «Властелине колец», выступил в поддержку режиссера, худрука «Гоголь-центра» Кирилла Серебренникова, передает «Интерфакс».;0
2898;Три крупные нефтяные компании приостановили работу своих предприятий в Техасе из-за урагана «Харви».;Три крупные компании остановили работу своих НПЗ в Техасе из-за урагана «Харви», сообщает The Wall Street Journal.;1
2899;Станция метро «Ладожская» закрыта на вход https://t.co/WFkwTOeUcG Сейчас на место прибыли сотрудники полиции и взрывотехники, проводится проверка.;Станцию «Проспект Мира» Кольцевой линии московского метро завтра закроют на вход из-за Курбан-байрама, передает НСН.;0
2900;Первую позицию в списке заняла жена экс-мэра столицы Юрия Лужкова Елена Батурина.;На четвертой строчке рейтинга расположились совладельцы ТАИФ Айрат и Радик Шаймиевы, по $1,1 млрд у каждого.;0
2901;В связи со стихией были отменены или задержаны как минимум 600 авиарейсов, остановлены паромное и наземное сообщения, закрыты госучреждения.;Накануне сообщалось, что в аэропорту Гонконга не менее 300 авиарейсов отменены и задержаны в связи с приближающимся сильным тайфуном «Пакхар».;0
2902;Мы окажем ей всю возможную поддержку», — резюмировал глава Минспорта РФ, его слова приводит ТАСС.;По словам Колобкова, Минспорта будет оказывать Липницкой всю возможную поддержку.;0
2903;На сайте «Миротворец» про обоих актеров говорится, что они нарушили государственные границы Украины и занимались незаконной гастрольной деятельностью на территории «временно оккупированного Россией Крыма» (слово «Россия» в оригинале написано со строчной буквы).;Как утверждается, артисты попали в список в связи с «сознательным нарушением государственной границы Украины» и из-за «незаконной гастрольной деятельности» в Крыму.;0
2904;"Матч завершился со счетом 1:2 (2:6; 7:6; 2:6).";Встреча продолжалась 2 часа 20 минут и завершилась со счетом 6:2, 6:7 (5), 6:1.;0
2905;Об этом «Известиям» рассказал глава промоутерской компании «Мир бокса» Андрей Рябинский.;Глава промоутерской компании «Мир бокса» Андрей Рябинский поделился впечатлениями от боксерского поединка между американцем Флойдом Мейвезером и ирландцем Конором Макгрегором.;0
2906;Согласно сообщению СК, подозреваемый — 21-летний житель Каспийска.;«По подозрению в совершении преступления задержан 21-летний житель города Каспийска», — говорится в сообщении.;0
2907;На мой взгляд, хорошо, что решили не гнаться за оригинальностью и решили построить то, что опробовано веками, — отметил Евгений Монастырев.;В течение наступивших суток конструкция будет оснащена ветровыми связями — это устройства, которые не закрепляют арку», — рассказал замдиректора по производству «Мостоотряда-1» Михаил Пиксаев.;0
2908;В дни проведения основных мусульманских праздников меры усиливаются: входы и выходы из метро ограничиваются, движение автомобилей перекрыто, к мечети стягивают дополнительные силы МВД.;Ранее сообщалось, что в трех школах Москвы, которые находятся рядом с Соборной мечетью, из-за Курбан-байрама могут перенести торжественную линейку.;0
2909;Как сообщали «Известия», ранее Минпромторг искал Zara, Nike, Finn Flare и другим крупным западным ритейлерам партнеров, готовых заняться производством товаров легкой промышленности на территории России.;В свою очередь председатель правления Российской парфюмерно-косметической ассоциации (РПКА) Татьяна Пучкова заявила, что отечественные производители в данной отрасли сталкиваются с рядом крупных проблем, таких как отсутствие техдокументации и технологий.;0
2910;При этом Дутерте отметил, что полицейские должны строго следовать закону при исполнении своих обязанностей.;Президент также добавил, что незаконные убийства не допускаются и что полиция должна поддерживать верховенство закона при выполнении своих обязанностей.;0
2911;Позднее, используя механизм удаленной идентификации, граждане смогут дистанционно получать, помимо банковских, государственные и иные услуги.;«Цель ЦБ — к марту 2018 года обеспечить банкам возможность удаленно идентифицировать как существующих, так и новых клиентов.;0
2912;Бывший генеральный директор ООО «Аэромаг» Николай Сухарников погиб в ДТП 16 декабря 2016 года.;В октябре 2016 года сообщалось, что экс-руководитель «Оборонэнерго» Михаил Фомин арестован по делу о хищениях на 450 млн руб. при поставках электроэнергии структурам Министерства обороны.;0
2913;Это очень важно, и я полагаю, это когда-нибудь произойдет», — объявил он.;Он также выразил надежду, что «это когда-нибудь произойдет».;1
2914;В Кабардино-Балкарии 1 сентября из-за схода селя был введен режим ЧС.;В Кабардино-Балкарии начали эвакуировать туристов, заблокированных в горах из-за схода селей, передает НСН.;0
2915;Первым прошел под флагом России сухогруз «Святитель Алексий», он следовал из Азовского моря в Черное.;Пресс-служба инфоцентра проекта «Крымский мост» сообщает, что под аркой прошел сухогруз «Святитель Алексий», который следовал из Азовского моря в Черное.;0
2916;В понедельник американские СМИ сообщали, что Коэн в январе 2016 года якобы обращался к пресс-секретарю российского лидера Владимира Путина Дмитрию Пескову с просьбой оказать помощь с проектом строительства башни Трамп-тауэр в Москве.;Ранее газета The Washington Post сообщила, что Коэн рассказал конгрессу США о своем письме в адрес Пескова, в котором просил оказать содействие в строительстве небоскреба Trump Tower в «Москва-Сити».;0
2917;Глава правительства РФ назвал переход Ливинского в «Россети» разумной ротацией.;Премьер-министр России Дмитрий Медведев заявил, что глава департамента ЖКХ Москвы Павел Ливинский станет новой главой «Россетей».;0
2918;Сергей Астахов прославился после съемок в телесериале «Бедная Настя», а впоследствии снялся также в «Хироманте», «Есенине» и многих других проектах (на его счету около 100 ролей в кино и на ТВ).;Российские актеры Сергей Астахов и Дарья Повереннова добавлены в базу данных украинского сайта «Миротворец», передает РИА «Новости».;0
2919;Ранее в СМИ появилась информация, что Алексей Малобродский отправил письмо американскому театральному критику Джону Фридману и его супруге, актрисе Оксане Мысиной, с просьбой о поддержке.;Малобродский написал письмо американскому театральному критику Джону Фридману и его супруге, актрисе Оксане Мысиной.;1
2920;В результате столкновений сторонников и противников действующего турецкого правительства пострадали девять человек, из них двое получили серьезные травмы.;«19 человек, включая 15 турецких сотрудников службы охраны, обвиняются в нападении на протестующих во время визита Эрдогана в Вашингтон в мае», — отметили в агентстве.;0
2921;Российская экономика адаптировалась к санкциям и перешла к росту.;Председатель правительства Дмитрий Медведев заявил, что экономика России смогла адаптироваться к внешнему давлению и перешла к росту.;1
